scenario,repeat,probe,count,rate_hz,min_cycles,avg_cycles,max_cycles,min_us,avg_us,max_us,budget_us,overrun,irq_jitter_us,uart_errors,tx_p0_drop_delta,tx_p1_drop_delta,tx_p2_drop_delta,fault_code,status,avg_cpu_pct,max_cpu_pct,remaining_us,outlier_candidate,note
READY_IDLE,1,FOC_RUN,0,0.0,0,0,0,0.0,0.0,0.0,100.0,0,31.254,0,0,0,0,0,N/A,,,,False,
READY_IDLE,1,CURRENT_PATH,200128,20012.8,560,595,658,1.167,1.24,1.371,50.0,0,31.254,0,0,0,0,0,N/A,,,,False,
READY_IDLE,1,SPEED_LOOP,20013,2001.3,198,219,818,0.413,0.457,1.704,50.0,0,31.254,0,0,0,0,0,N/A,,,,False,
READY_IDLE,1,POSITION_LOOP,2002,200.2,100,100,100,0.208,0.208,0.208,50.0,0,31.254,0,0,0,0,0,N/A,,,,False,
READY_IDLE,1,TIM1_ISR,200128,20012.8,3829,4464,7685,7.977,9.301,16.01,50.0,0,31.254,0,0,0,0,0,GREEN,18.602,32.02,33.989999999999995,False,
READY_IDLE,1,IRQ_PERIOD,200127,20012.7,16494,23998,31496,34.362,49.996,65.617,0.0,0,31.254,0,0,0,0,0,N/A,,,,False,
SPEED_BIN1000,1,FOC_RUN,100080,10008.0,1673,1677,1679,3.485,3.495,3.498,100.0,0,31.788,0,0,0,0,0,N/A,,,,False,
SPEED_BIN1000,1,CURRENT_PATH,200160,20016.0,2390,3829,5430,4.979,7.979,11.313,50.0,0,31.788,0,0,0,0,0,N/A,,,,False,
SPEED_BIN1000,1,SPEED_LOOP,20016,2001.6,3554,3602,4210,7.404,7.506,8.771,50.0,0,31.788,0,0,0,0,0,N/A,,,,False,
SPEED_BIN1000,1,POSITION_LOOP,2001,200.1,140,140,140,0.292,0.292,0.292,50.0,0,31.788,0,0,0,0,0,N/A,,,,False,
SPEED_BIN1000,1,TIM1_ISR,200160,20016.0,3663,8032,12931,7.631,16.735,26.94,50.0,0,31.788,0,0,0,0,0,GREEN,33.47,53.88,23.06,False,
SPEED_BIN1000,1,IRQ_PERIOD,200159,20015.9,16372,23997,31630,34.108,49.996,65.896,0.0,0,31.788,0,0,0,0,0,N/A,,,,False,
