stage,pulse_label,timestamp_ms,Id_ref,Iq_ref,Id,Iq,Vd,Vq,vbus,speed,foc_state,fault_flags,app_fault_code
S1_Kp0.30_Ki300,+0.05A,12279758,0.0,0.0,0.001,0.003,0.0,0.0,11.92,0.02,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279778,0.0,0.05,0.117,-0.168,-0.367,1.68,11.92,0.69,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279798,0.0,0.05,0.179,0.241,-0.193,4.034,11.92,1.92,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279818,0.0,0.05,-0.119,-0.078,-0.279,6.44,11.95,3.12,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279838,0.0,0.05,-0.03,0.1,-0.163,6.887,11.93,4.35,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279858,0.0,0.05,-0.055,-0.05,-0.077,6.87,11.9,5.58,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279878,0.0,0.05,-0.016,0.054,-0.03,6.88,11.92,6.81,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279898,0.0,0.05,0.0,-0.072,-0.008,6.88,11.92,8.04,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279918,0.0,0.05,0.065,-0.058,-0.031,6.88,11.92,9.27,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279938,0.0,0.05,-0.044,0.017,0.016,6.889,11.93,10.47,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279958,0.0,0.05,-0.08,-0.064,0.018,6.87,11.88,11.7,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279978,0.0,0.05,-0.035,0.055,0.006,6.87,11.92,12.93,4,0,0
S1_Kp0.30_Ki300,+0.05A,12279998,0.0,0.05,-0.058,0.092,0.009,6.898,11.95,14.16,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280018,0.0,0.05,0.053,-0.01,-0.007,6.88,11.92,15.39,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280038,0.0,0.05,-0.015,0.121,-0.0,6.88,11.92,16.59,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280058,0.0,0.05,0.054,0.064,-0.006,6.861,11.88,17.82,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280078,0.0,0.05,0.053,0.088,-0.006,6.88,11.9,19.05,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280098,0.0,0.05,-0.03,0.036,0.003,6.889,11.92,20.28,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280118,0.0,0.05,0.147,-0.041,-0.01,6.889,11.92,21.51,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280138,0.0,0.05,-0.064,-0.054,0.006,6.898,11.95,22.74,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280158,0.0,0.05,-0.04,-0.063,0.003,6.88,11.93,23.94,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280178,0.0,0.05,0.018,0.059,-0.002,6.898,11.95,25.17,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280198,0.0,0.05,-0.132,0.109,0.008,6.889,11.93,26.4,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280218,0.0,0.05,-0.068,0.159,0.003,6.898,11.95,27.63,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280238,0.0,0.05,-0.11,0.058,0.005,6.87,11.9,28.86,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280258,0.0,0.05,0.006,0.018,-0.0,6.88,11.92,30.06,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280278,0.0,0.05,0.021,0.11,-0.002,6.861,11.88,31.29,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280298,0.0,0.05,0.113,-0.035,-0.005,6.88,11.92,32.52,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280318,0.0,0.05,0.098,0.045,-0.005,6.88,11.92,33.75,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280338,0.0,0.05,-0.012,-0.002,0.001,6.88,11.92,34.98,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280358,0.0,0.05,-0.013,-0.032,0.001,6.889,11.93,36.21,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280378,0.0,0.05,0.012,-0.045,0.0,6.898,11.95,37.41,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280398,0.0,0.05,-0.027,0.01,0.002,6.889,11.93,38.64,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280418,0.0,0.05,-0.023,0.052,0.0,6.889,11.93,39.87,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280438,0.0,0.05,-0.105,-0.013,0.003,6.889,11.93,41.1,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280458,0.0,0.05,-0.001,0.102,-0.0,6.88,11.9,42.33,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280478,0.0,0.05,-0.015,0.129,-0.0,6.88,11.92,43.53,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280498,0.0,0.05,0.051,-0.056,-0.001,6.889,11.93,44.76,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280518,0.0,0.05,0.177,0.136,-0.006,6.861,11.88,45.99,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280538,0.0,0.05,0.013,0.011,0.0,6.87,11.9,47.22,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280558,0.0,0.05,-0.012,0.083,0.001,6.88,11.92,48.45,4,0,0
S1_Kp0.30_Ki300,+0.05A,12280578,0.0,0.05,-0.05,0.024,0.001,6.88,11.93,49.65,4,0,0
